Year,Week,Sampling Period,Site,Block,Host Plant,Branch ID,Ant Treatment,Leaf Count,Single Leaf Area,Branch Leaf Area,Total Caterpillars,Cumulative Cat Count,Total Ants,Total Saps,S1+S2 Sap Presence,Sap Presence,0% leaf dmg,1-20% leaf dmg,20-40% leaf dmg,40-60% leaf dmg,60-80% leaf dmg,80-100% leaf dmg,Leaf Area Lost,Number of Damaged Leaves
2012,3,S1,C,5,WH,CWH5A,tanglefoot,135,23.85,0.321975,3,,0,0,,0,10,102,9,10,3,1,0.0379215,
2012,3,S1,C,5,WH,CWH5B,control,194,23.85,0.46269,2,,0,0,,0,2,122,0,0,65,5,0.148347,
2012,3,S1,C,5,WH,CWH5C,tanglefoot,132,23.85,0.31482,0,,0,0,,0,31,83,11,0,1,6,0.0493695,
2012,3,S1,C,5,WH,CWH5D,control,144,23.85,0.34344,1,,1,0,,0,6,121,8,6,2,1,0.068688,
2012,3,S1,C,6,WH,CWH6A,tanglefoot,357,23.85,0.851445,4,,1,0,,0,15,218,63,24,17,20,0.177921,
2012,3,S1,C,6,WH,CWH6B,control,155,23.85,0.369675,5,,3,0,,0,4,123,17,8,2,1,0.067257,
2012,3,S1,C,6,WH,CWH6C,tanglefoot,114,23.85,0.27189,3,,0,0,,0,3,47,27,17,11,9,0.082521,
2012,3,S1,C,6,WH,CWH6D,control,189,23.85,0.450765,2,,4,0,,0,14,143,15,12,4,1,0.05724,
2012,1,S1,C,1,WO,CWO1A,tanglefoot,185,31.553,0.5837305,1,,2,0,,0,35,145,1,3,1,0,0.0694166,
2012,1,S1,C,1,WO,CWO1C,tanglefoot,303,31.553,0.9560559,1,,3,0,,0,50,208,21,13,4,7,0.12526541,
2012,2,S1,C,3,WO,CWO3A,tanglefoot,120,31.553,0.378636,0,,1,0,,0,12,90,9,7,0,2,0.0536401,
2012,2,S1,C,3,WO,CWO3B,control,119,31.553,0.3754807,2,,7,0,,0,23,45,40,7,2,2,0.06373706,
2012,2,S1,C,3,WO,CWO3C,tanglefoot,144,31.553,0.4543632,4,,0,0,,0,49,70,19,1,3,2,0.06026623,
2012,2,S1,C,4,WO,CWO4A,tanglefoot,67,31.553,0.2114051,0,,0,0,,0,3,44,8,5,3,4,0.04575185,
2012,2,S1,C,4,WO,CWO4B,control,53,31.553,0.1672309,1,,1,0,,0,5,33,11,4,0,0,0.03660148,
2012,2,S1,C,4,WO,CWO4C,tanglefoot,109,31.553,0.3439277,2,,0,0,,0,22,39,24,10,6,8,0.08046015,
2012,3,S1,C,5,WO,CWO5A,tanglefoot,100,31.553,0.31553,1,,1,0,,0,5,81,7,6,1,0,0.03597042,
2012,3,S1,C,5,WO,CWO5B,control,62,31.553,0.1956286,0,,2,0,,0,5,40,8,1,7,1,0.04796056,
2012,3,S1,C,5,WO,CWO5C,tanglefoot,57,31.553,0.1798521,1,,1,0,,0,3,32,13,6,1,2,0.04133443,
2012,3,S1,C,5,WO,CWO5D,control,151,31.553,0.4764503,3,,2,0,,0,16,116,5,7,3,4,0.05931964,
2012,3,S1,C,6,WO,CWO6A,tanglefoot,169,31.553,0.5332457,0,,1,0,,0,35,127,4,0,1,2,0.07225637,
2012,3,S1,C,6,WO,CWO6B,control,136,31.553,0.4291208,0,,2,0,,0,9,104,5,13,1,4,0.08424651,
2012,3,S1,C,6,WO,CWO6C,tanglefoot,140,31.553,0.441742,1,,0,0,,0,14,68,23,21,7,7,0.08487757,
2012,1,S1,H,1,BC,HBC1A,tanglefoot,329,12.0323,0.39586267,1,,0,0,,0,306,11,2,4,0,6,0.014559083,
2012,1,S1,H,1,BC,HBC1B,control,319,12.0323,0.38383037,0,,0,0,,0,268,27,0,10,0,14,0.023222339,
2012,1,S1,H,1,BC,HBC1C,tanglefoot,239,12.0323,0.28757197,1,,0,0,,0,171,58,2,8,0,0,0.011310362,
2012,1,S1,H,1,BC,HBC1D,control,426,12.0323,0.51257598,0,,0,0,,0,385,22,9,6,2,2,0.009746163,
2012,1,S1,H,2,BC,HBC2A,tanglefoot,265,12.0323,0.31885595,1,,0,0,,0,248,12,0,0,5,0,0.005655181,
2012,1,S1,H,2,BC,HBC2B,control,254,12.0323,0.30562042,1,,3,0,,0,193,55,6,0,0,0,0.009385194,
2012,1,S1,H,2,BC,HBC2C,tanglefoot,443,12.0323,0.53303089,2,,0,0,,0,375,58,7,1,1,1,0.01564199,
2012,1,S1,H,2,BC,HBC2D,control,504,12.0323,0.60642792,11,,0,0,,0,434,52,8,7,1,2,0.012152623,
2012,2,S1,H,3,BC,HBC3A,tanglefoot,178,12.0323,0.21417494,0,,0,0,,0,83,93,2,0,0,0,0.012513592,
2012,2,S1,H,3,BC,HBC3C,tanglefoot,551,12.0323,0.66297973,8,,1,0,,0,135,359,49,1,2,5,0.072795415,
2012,2,S1,H,3,BC,HBC3D,control,609,12.0323,0.73276707,4,,0,0,,0,95,495,11,8,0,0,0.064733774,
2012,2,S1,H,4,BC,HBC4A,tanglefoot,537,12.0323,0.64613451,4,,0,0,,0,435,94,6,2,0,0,0.013476176,
2012,2,S1,H,4,BC,HBC4B,control,637,12.0323,0.76645751,1,,0,0,,0,596,38,0,0,0,3,0.007820995,
2012,2,S1,H,4,BC,HBC4C,tanglefoot,323,12.0323,0.38864329,0,,0,0,,0,278,45,0,0,0,0,0.00601615,
2012,2,S1,H,4,BC,HBC4D,control,254,12.0323,0.30562042,2,,0,0,,0,205,48,0,1,0,0,0.005775504,
2012,3,S1,H,5,BC,HBC5A,tanglefoot,88,12.0323,0.10588424,0,,0,0,,0,44,42,2,0,0,0,0.006978734,
2012,3,S1,H,5,BC,HBC5B,control,98,12.0323,0.11791654,0,,1,0,,0,30,60,5,2,1,0,0.011069716,
2012,3,S1,H,5,BC,HBC5C,tanglefoot,253,12.0323,0.30441719,0,,0,0,,0,172,75,0,2,4,0,0.014198114,
2012,3,S1,H,5,BC,HBC5D,control,172,12.0323,0.20695556,1,,5,0,,0,30,137,2,3,0,0,0.017807804,
2012,3,S1,H,6,BC,HBC6A,tanglefoot,402,12.0323,0.48369846,1,,0,0,,0,124,268,7,1,2,0,0.037059484,
2012,3,S1,H,6,BC,HBC6B,control,174,12.0323,0.20936202,1,,2,0,,0,30,141,1,1,0,1,0.020815879,
2012,3,S1,H,6,BC,HBC6C,tanglefoot,266,12.0323,0.32005918,2,,0,0,,0,70,184,2,4,4,2,0.028997843,
2012,3,S1,H,6,BC,HBC6D,control,282,12.0323,0.33931086,1,,0,0,,0,69,211,1,1,0,0,0.026350737,
2012,1,S1,H,1,BE,HBE1A,tanglefoot,149,38.372,0.5717428,0,,0,0,,0,106,40,2,1,0,0,0.01765112,
2012,1,S1,H,1,BE,HBE1B,control,91,38.372,0.3491852,0,,0,0,,0,64,27,0,0,0,0,0.02187204,
2012,1,S1,H,1,BE,HBE1C,tanglefoot,126,38.372,0.4834872,0,,0,0,,0,80,37,0,6,0,3,0.02455808,
2012,1,S1,H,2,BE,HBE2A,tanglefoot,148,38.372,0.5679056,0,,0,0,,0,144,4,0,0,0,0,0.00153488,
2012,1,S1,H,2,BE,HBE2B,control,218,38.372,0.8365096,0,,0,0,,0,198,17,0,0,3,0,0.01458136,
2012,1,S1,H,2,BE,HBE2C,tanglefoot,261,38.372,1.0015092,0,,0,0,,0,221,38,2,0,0,0,0.02455808,
2012,1,S1,H,2,BE,HBE2D,control,234,38.372,0.8979048,1,,1,0,,0,197,32,0,4,0,1,0.01956972,
2012,2,S1,H,3,BE,HBE3A,tanglefoot,209,38.372,0.8019748,0,,0,0,,0,154,47,5,2,1,0,0.02839528,
2012,2,S1,H,3,BE,HBE3B,control,225,38.372,0.86337,1,,2,0,,0,124,97,1,1,1,1,0.04643012,
2012,2,S1,H,3,BE,HBE3C,tanglefoot,171,38.372,0.6561612,2,,0,0,,0,49,118,0,1,0,3,0.0613952,
2012,2,S1,H,3,BE,HBE3D,control,214,38.372,0.8211608,1,,0,0,,0,97,106,5,3,0,3,0.06254636,
2012,2,S1,H,4,BE,HBE4A,tanglefoot,140,38.372,0.537208,0,,1,0,,0,91,44,2,3,0,0,0.019186,
