Replicate,Duration,Date,Dorm,Column,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,Plant Number,Total Aphids,Total Adults,Total Nymphs,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
1,1,8.2.2017,9,B,,Pea,Present,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,10,A,,Pea,Present,Absent,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,10,B,,Pea,Present,Absent,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,11,A,,Pea,Present,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,11,B,,Pea,Present,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,12,A,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,12,B,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,13,A,,Pea,Absent,Present,No,2,1,1,0,0,0,0,1,0,1,0,0,0,No
1,1,8.2.2017,13,B,,Pea,Absent,Present,No,2,3,2,1,1,1,2,0,0,0,1,0,1,No
1,1,8.2.2017,14,A,,Pea,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,14,B,,Pea,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,15,A,,Pea,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,15,B,,Pea,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,16,A,,Pea,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,16,B,,Pea,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,17,A,,Vetch,Present,Present,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,17,B,,Vetch,Present,Present,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,18,A,,Vetch,Present,Present,No,2,4,1,3,1,3,4,0,0,0,0,0,0,No
1,1,8.2.2017,18,B,,Vetch,Present,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,19,A,,Vetch,Present,Present,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,19,B,,Vetch,Present,Present,Yes,2,5,0,4,0,4,4,0,0,0,0,0,0,No
1,1,8.2.2017,20,A,,Vetch,Present,Present,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,20,B,,Vetch,Present,Present,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,21,A,,Vetch,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,21,B,,Vetch,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,22,A,,Vetch,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,22,B,,Vetch,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,23,A,,Vetch,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,23,B,,Vetch,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,24,A,,Vetch,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,24,B,,Vetch,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,25,A,,Vetch,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,25,B,,Vetch,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,26,A,,Vetch,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,26,B,,Vetch,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,27,A,,Vetch,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,27,B,,Vetch,Absent,Present,No,2,1,1,0,1,0,1,0,0,0,0,0,0,No
1,1,8.2.2017,28,A,,Vetch,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,28,B,,Vetch,Absent,Present,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,29,A,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,29,B,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,30,A,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,30,B,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,31,A,,Pea,Absent,Absent,No,2,3,1,2,0,0,0,0,0,0,1,2,3,No
1,1,8.2.2017,31,B,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,32,A,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,32,B,,Pea,Absent,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,1,A,,Vetch,Present,Absent,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,1,B,,Vetch,Present,Absent,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,2,A,,Vetch,Present,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,2,B,,Vetch,Present,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,3,A,,Vetch,Present,Absent,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,3,B,,Vetch,Present,Absent,Yes,3,1,1,0,0,0,0,1,0,1,0,0,0,No
1,1,8.2.2017,4,A,,Vetch,Present,Absent,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,4,B,,Vetch,Present,Absent,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,5,A,,Pea,Present,Present,Yes,3,0,0,1,0,0,0,0,0,0,0,1,1,No
1,1,8.2.2017,5,B,,Pea,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,6,A,,Pea,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,6,B,,Pea,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,7,A,,Pea,Present,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,7,B,,Pea,Present,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,8,A,,Pea,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,8,B,,Pea,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,9,A,,Pea,Present,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,9,B,,Pea,Present,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,10,A,,Pea,Present,Absent,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,10,B,,Pea,Present,Absent,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,11,A,,Pea,Present,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,11,B,,Pea,Present,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,12,A,,Pea,Absent,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,12,B,,Pea,Absent,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,13,A,,Pea,Absent,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,13,B,,Pea,Absent,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,14,A,,Pea,Absent,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,14,B,,Pea,Absent,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,15,A,,Pea,Absent,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,15,B,,Pea,Absent,Present,No,3,1,1,0,0,0,0,1,0,1,0,0,0,No
1,1,8.2.2017,16,A,,Pea,Absent,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,16,B,,Pea,Absent,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,17,A,,Vetch,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,17,B,,Vetch,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,18,A,,Vetch,Present,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,18,B,,Vetch,Present,Present,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,19,A,,Vetch,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,19,B,,Vetch,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,20,A,,Vetch,Present,Present,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,20,B,,Vetch,Present,Present,Yes,3,4,1,3,0,0,0,0,0,0,1,3,4,No
1,1,8.2.2017,21,A,,Vetch,Absent,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,21,B,,Vetch,Absent,Absent,No,3,0,0,0,0,0,0,0,0,0,0,0,0,No
